,lev_va_ft,County,MeasurementDate,Well_ID,SaturatedThickness,y_lat,x_long
0,147.72,Dallam,1994/12/12,140301,322.28,36.49335936,-103.039652
1,127.1,Dallam,1994/12/12,140902,32.900000000000006,36.40808358,-103.0374305
2,152.41,Dallam,1995/03/14,156301,150.59,36.24086521,-103.0321541
3,164.33,Dallam,1995/03/14,156602,111.66999999999999,36.19614383,-103.0302099
4,124.5,Dallam,1995/03/13,164301,173.5,36.11975648,-103.00159790000001
5,82.15,Dallam,1994/12/12,233101,97.85,36.48530421,-102.9777047
7,197.7,Dallam,1994/12/12,233401,139.3,36.45363825,-102.98881659999999
8,129.4,Dallam,1994/12/10,233501,50.599999999999994,36.43280527,-102.93437
9,95.05,Dallam,1994/12/10,233701,341.95,36.39530613,-102.9624272
14,65.91,Dallam,1994/12/09,234803,74.09,36.389750299999996,-102.8343661
16,81.96,Dallam,1994/12/09,236102,13.040000000000006,36.4628045,-102.6118562
17,27.4,Dallam,1994/12/09,236402,11.600000000000001,36.43141606,-102.58796690000001
19,62.6,Dallam,1994/12/09,236601,67.4,36.42613836,-102.53685390000001
20,241.86,Dallam,1995/03/08,236902,29.139999999999986,36.3819723,-102.52796540000001
21,219.58,Dallam,1994/12/08,237601,93.41999999999999,36.4575268,-102.37795859999999
22,208.85,Dallam,1995/03/08,237701,111.15,36.40086093,-102.4840746
23,240.1,Dallam,1995/03/08,237801,24.900000000000006,36.3991943,-102.42518359999998
24,245.69,Dallam,1994/12/08,238201,54.31,36.48169309,-102.29851090000001
25,300.3,Dallam,1994/12/08,239201,199.7,36.45863803,-102.1860081
26,293.16,Sherman,1995/01/27,239301,71.83999999999997,36.47641559,-102.15822929999999
27,321.15,Dallam,1994/12/08,239401,98.85000000000002,36.43863825,-102.2251761
28,282.64,Sherman,1995/01/27,239602,169.36,36.4441939,-102.1526743
29,296.9,Sherman,1995/01/27,239603,225.10000000000002,36.42863857,-102.1582303
30,296.69,Sherman,1995/01/27,239902,157.31,36.38419491,-102.1343418
31,264.67,Sherman,1995/01/27,240201,109.32999999999998,36.49974871,-102.0823937
32,285.27,Sherman,1995/01/27,240402,61.73000000000002,36.43113864,-102.116007
33,299.89,Sherman,1995/01/27,240403,154.11,36.44391626,-102.09906190000001
34,263.28,Sherman,1995/01/27,240501,151.72000000000003,36.44391631,-102.0785059
35,237.42,Sherman,1995/01/27,240601,128.58,36.44030539,-102.02711579999999
36,286.73,Sherman,1995/01/27,240801,43.26999999999998,36.41502789,-102.0810065
37,257.62,Sherman,1995/01/27,240901,192.38,36.41530578,-102.0360055
39,121.14,Dallam,1994/12/12,241402,273.86,36.30891926,-102.9940961
40,42.85,Dallam,1994/12/12,241602,294.15,36.3066965,-102.88492480000001
41,105.89,Dallam,1995/03/08,241801,234.11,36.27641962,-102.93631620000001
42,119.44,Dallam,1995/03/16,241901,10.560000000000002,36.25141981,-102.88881440000002
43,179.7,Dallam,1995/03/14,242502,10.300000000000011,36.29697401,-102.8051993
44,249.2,Dallam,1995/03/13,242903,90.80000000000001,36.27919626,-102.759642
45,98.2,Dallam,1995/03/13,243201,196.8,36.35308391,-102.6976944
46,172.85,Dallam,1995/03/13,243402,289.15,36.32002887,-102.7163066
47,231.9,Dallam,1995/03/14,243701,81.1,36.25502991,-102.7463084
48,183.76,Dallam,1995/03/13,244601,182.24,36.32197313,-102.5257442
49,305.94,Dallam,1994/12/08,246301,294.06,36.33836193,-102.27823520000001
50,313.9,Dallam,1994/12/07,246801,246.10000000000002,36.28836266,-102.29629229999999
51,260.74,Dallam,1994/12/07,247101,116.25999999999999,36.34863961,-102.2349003
52,233.03,Dallam,1994/12/07,247202,196.97,36.3408621,-102.187955
53,289.01,Dallam,1994/12/07,247501,323.99,36.29891838,-102.1690665
54,277.59,Sherman,1995/01/09,247603,270.41,36.31280713,-102.1468435
55,272.24,Sherman,1995/01/09,247609,237.76,36.29947405,-102.1335101
56,291.02,Sherman,1995/01/27,248102,73.98000000000002,36.37030632,-102.1096192
57,302.15,Sherman,1995/01/27,248103,129.85000000000002,36.35002892,-102.0915637
58,312.86,Sherman,1995/01/13,248601,137.14,36.32780733,-102.00878449999999
59,279.3,Sherman,1995/01/13,248901,120.69999999999999,36.28475248,-102.0173968
60,119.12,Dallam,1995/03/13,249201,180.88,36.24142033,-102.9332608
